name,published_at,data
dataStream,2015-11-17T06:28:13.933Z,1870;26;883
dataStream,2015-11-17T06:29:13.932Z,1868;26;902
dataStream,2015-11-17T06:30:13.935Z,1879;25;917
dataStream,2015-11-17T06:31:13.932Z,1885;25;918
dataStream,2015-11-17T06:32:13.958Z,1887;26;880
dataStream,2015-11-17T06:33:13.946Z,1874;25;905
dataStream,2015-11-17T06:34:13.934Z,1877;25;866
dataStream,2015-11-17T06:35:13.934Z,1872;26;905
dataStream,2015-11-17T06:36:13.934Z,1881;26;916
dataStream,2015-11-17T06:37:13.938Z,1877;26;916
dataStream,2015-11-17T06:38:13.934Z,1884;26;858
dataStream,2015-11-17T06:39:13.936Z,1880;26;866
dataStream,2015-11-17T06:40:13.946Z,1883;26;899
dataStream,2015-11-17T06:41:13.933Z,1875;26;908
dataStream,2015-11-17T06:42:13.934Z,1869;26;916
dataStream,2015-11-17T06:43:13.936Z,1872;25;874
dataStream,2015-11-17T06:44:13.935Z,1864;26;882
dataStream,2015-11-17T06:45:13.935Z,1877;26;864
dataStream,2015-11-17T06:46:13.936Z,1876;25;902
dataStream,2015-11-17T06:47:13.935Z,1874;26;910
dataStream,2015-11-17T06:48:13.936Z,1882;26;866
dataStream,2015-11-17T06:49:13.936Z,1874;26;914
dataStream,2015-11-17T06:50:13.936Z,1880;25;923
dataStream,2015-11-17T06:51:13.934Z,1861;26;915
dataStream,2015-11-17T06:52:13.936Z,1875;26;869
dataStream,2015-11-17T06:53:13.935Z,1875;25;876
dataStream,2015-11-17T06:54:13.937Z,1860;25;904
dataStream,2015-11-17T06:55:13.935Z,1879;25;869
dataStream,2015-11-17T06:56:13.936Z,1877;25;875
dataStream,2015-11-17T06:57:13.936Z,1883;26;865
dataStream,2015-11-17T06:58:13.940Z,1870;26;893
dataStream,2015-11-17T06:59:13.936Z,1892;26;911
dataStream,2015-11-17T07:00:13.938Z,1882;26;914
dataStream,2015-11-17T07:01:13.936Z,1874;26;872
dataStream,2015-11-17T07:02:13.936Z,1879;26;884
dataStream,2015-11-17T07:03:13.937Z,1870;25;900
dataStream,2015-11-17T07:04:13.936Z,1877;26;891
dataStream,2015-11-17T07:05:13.938Z,1882;26;898
